ticker,weight,sector,train_start,train_end,fitness
IGL.NS,0.0021895814900339187,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
ZYDUSWELL.NS,0.0021832799653438385,NIFTY_Consumption,2017-04-01,2026-03-31,0.8675756031801394
COALINDIA.NS,0.0020667951936755584,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
THERMAX.NS,0.0018664551730782366,NIFTY_Consumption,2017-04-01,2026-03-31,0.8675756031801394
HDFCBANK.NS,0.0017513419292765901,NIFTY_Bank_Index,2017-04-01,2026-03-31,0.8675756031801394
GAIL.NS,0.0017346682104249444,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
IOC.NS,0.0017139257375879064,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
MRF.NS,0.0016107755487953413,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
AMBUJACEM.NS,0.0015759975663134685,NIFTY_Commodities,2017-04-01,2026-03-31,0.8675756031801394
LUPIN.NS,0.0015607636324519339,NIFTY_Pharma_Index,2017-04-01,2026-03-31,0.8675756031801394
SONACOMS.NS,0.0015561866215829502,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
BOSCHLTD.NS,0.0015062155711465443,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
PGHH.NS,0.001505627021678826,NIFTY_FMCG,2017-04-01,2026-03-31,0.8675756031801394
SUNPHARMA.NS,0.0,NIFTY_Pharma_Index,2017-04-01,2026-03-31,0.8675756031801394
BHARATFORG.NS,0.0,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
TATACHEM.NS,0.0,NIFTY_Consumption,2017-04-01,2026-03-31,0.8675756031801394
DATAPATTNS.NS,0.0,Defence_ETF,2017-04-01,2026-03-31,0.8675756031801394
KRISHNADEF.NS,0.0,Defence_ETF,2017-04-01,2026-03-31,0.8675756031801394
NMDC.NS,0.0,NIFTY_Metal,2017-04-01,2026-03-31,0.8675756031801394
MGL.NS,0.0,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
MOTHERSON.NS,0.0,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
MARUTI.NS,0.0,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
LTFOODS.NS,0.0,NIFTY_FMCG,2017-04-01,2026-03-31,0.8675756031801394
SHREECEM.NS,0.0,NIFTY_Commodities,2017-04-01,2026-03-31,0.8675756031801394
NESCO.NS,0.0,NIFTY_Consumption,2017-04-01,2026-03-31,0.8675756031801394
ZYDUSLIFE.NS,0.0,NIFTY_Pharma_Index,2017-04-01,2026-03-31,0.8675756031801394
SYRMA.NS,0.0,NIFTY_Infrastructure,2017-04-01,2026-03-31,0.8675756031801394
APOLLOTYRE.NS,0.0,NIFTY_Auto_Index,2017-04-01,2026-03-31,0.8675756031801394
ONGC.NS,0.0,NIFTY_Energy,2017-04-01,2026-03-31,0.8675756031801394
